ADS.DE, ADIDAS AG.
ALV.DE,ALLIANZ SE VNA O.N.
BAS.DE,BASF SE NA O.N.
BAYN.DE,BAYER AG NA.
BEI.DE,BEIERSDORF AG O.N.
BMW.DE,BAY.MOTOREN WERKE AG ST.
CBK.DE,COMMERZBANK AG.
CON.DE,CONTINENTAL AG O.N.
DAI.DE,DAIMLER AG NA O.N.
DB1.DE,DEUTSCHE BOERSE NA O.N.
DBK.DE,DEUTSCHE BANK AG NA O.N.
DPW.DE,DEUTSCHE POST AG NA O.N.
DTE.DE,DT.TELEKOM AG NA.
EAON.DE,E.ON SE NA.
FME.DE,FRESEN.MED.CARE KGAA O.N.
FRE.DE,FRESENIUS SE+CO.KGAA O.N.
HEI.DE,HEIDELBERGCEMENT AG O.N.
HEN3.DE,HENKEL AG+CO.KGAA VZO.
IFX.DE,INFINEON TECH.AG NA O.N.
LHA.DE,LUFTHANSA AG VNA O.N.
LIN.DE,LINDE AG O.N.
LXS.DE,LANXESS AG.
MRK.DE,MERCK KGAA O.N.
MUV2.DE,MUENCH.RUECKVERS.VNA O.N.
RWE.DE,RWE AG ST O.N.
SAP.DE,SAP AG O.N.
SDF.DE,K+S AG NA O.N.
SIE.DE,SIEMENS AG NA.
TKA.DE,THYSSENKRUPP AG O.N.
VOW3.DE,VOLKSWAGEN AG VZO O.N.
